train data: small + change data
momentum
lambda = 0.500000
mu = 0
mu *= 0.9999batch_size = 256
batch_num = 1024
3 layers: 69-256-256-481, cost: 1.008940
415, cost: 0.573536
416, cost: 0.572701
417, cost: 0.573378
418, cost: 0.569181
419, cost: 0.571148
420, cost: 0.571357
421, cost: 0.582186
422, cost: 0.578412
423, cost: 0.576711
424, cost: 0.574388
425, cost: 0.573782
426, cost: 0.569379
427, cost: 0.570830
428, cost: 0.570619
429, cost: 0.566242
430, cost: 0.568130
431, cost: 0.580553
432, cost: 0.578565
433, cost: 0.574555
434, cost: 0.572388
435, cost: 0.571878
436, cost: 0.570028
437, cost: 0.570898
438, cost: 0.566984
439, cost: 0.567891
440, cost: 0.566172
441, cost: 0.580064
442, cost: 0.575819
443, cost: 0.574458
444, cost: 0.571729
445, cost: 0.571783
446, cost: 0.570714
447, cost: 0.568682
448, cost: 0.568657
449, cost: 0.566998
450, cost: 0.565594
451, cost: 0.579188
452, cost: 0.575998
453, cost: 0.574590
454, cost: 0.571232
455, cost: 0.569336
456, cost: 0.570230
457, cost: 0.567039
458, cost: 0.567182
459, cost: 0.566123
460, cost: 0.565685
461, cost: 0.579748
462, cost: 0.577849
463, cost: 0.573485
464, cost: 0.573380
465, cost: 0.573800
466, cost: 0.572184
467, cost: 0.569801
468, cost: 0.567989
469, cost: 0.566122
470, cost: 0.565870
471, cost: 0.581909
472, cost: 0.577873
473, cost: 0.575090
474, cost: 0.575241
475, cost: 0.571549
476, cost: 0.572910
477, cost: 0.570027
478, cost: 0.569840
479, cost: 0.569276
480, cost: 0.567013
481, cost: 0.578494
482, cost: 0.575016
483, cost: 0.572532
484, cost: 0.570953
485, cost: 0.569570
486, cost: 0.568181
487, cost: 0.566886
488, cost: 0.566967
489, cost: 0.564976
490, cost: 0.563850
491, cost: 0.574416
492, cost: 0.571192
493, cost: 0.568220
494, cost: 0.567094
495, cost: 0.566303
496, cost: 0.566006
497, cost: 0.563948
498, cost: 0.560943
499, cost: 0.560974
500, cost: 0.560636
501, cost: 0.576207
502, cost: 0.571777
503, cost: 0.570641
504, cost: 0.567706
505, cost: 0.566613
506, cost: 0.564901
507, cost: 0.563087
508, cost: 0.562169
509, cost: 0.561977
510, cost: 0.561429
511, cost: 0.576844
512, cost: 0.572667
513, cost: 0.570303
514, cost: 0.570170
515, cost: 0.567945
516, cost: 0.567389
517, cost: 0.563768
518, cost: 0.564205
519, cost: 0.562884
520, cost: 0.561648
521, cost: 0.577477
522, cost: 0.573504
523, cost: 0.570325
524, cost: 0.568333
525, cost: 0.566181
526, cost: 0.566469
527, cost: 0.564181
528, cost: 0.564717
529, cost: 0.561744
530, cost: 0.561869
531, cost: 0.574295
532, cost: 0.570482
533, cost: 0.567003
534, cost: 0.567352
535, cost: 0.565931
536, cost: 0.564120
537, cost: 0.563791
538, cost: 0.562206
539, cost: 0.560116
540, cost: 0.560049
541, cost: 0.576555
542, cost: 0.572433
543, cost: 0.571034
544, cost: 0.569795
545, cost: 0.566349
546, cost: 0.564582
547, cost: 0.563716
548, cost: 0.562621
549, cost: 0.561728
550, cost: 0.560709
551, cost: 0.573028
552, cost: 0.570244
553, cost: 0.567477
554, cost: 0.565106
555, cost: 0.564108
556, cost: 0.562887
557, cost: 0.560290
558, cost: 0.560842
559, cost: 0.558019
560, cost: 0.558227
561, cost: 0.573600
562, cost: 0.572221
563, cost: 0.568399
564, cost: 0.566534
565, cost: 0.564702
566, cost: 0.566434
567, cost: 0.563294
568, cost: 0.561285
569, cost: 0.561776
570, cost: 0.561727
571, cost: 0.573405
572, cost: 0.570568
573, cost: 0.568752
574, cost: 0.565916
575, cost: 0.564554
576, cost: 0.565858
577, cost: 0.564659
578, cost: 0.561686
579, cost: 0.563546
580, cost: 0.560695
581, cost: 0.561336
582, cost: 0.560099
583, cost: 0.557524
584, cost: 0.559155
585, cost: 0.556279
586, cost: 0.555806
