train data: small + change data
momentum
lambda = 0.900000
mu = 0.01
mu *= 0.9999batch_size = 256
batch_num = 1024
3 layers: 69-256-256-481, cost: 1.009855
812, cost: 0.565241
813, cost: 0.563138
814, cost: 0.561391
815, cost: 0.558990
816, cost: 0.557723
817, cost: 0.555599
818, cost: 0.557005
819, cost: 0.554866
820, cost: 0.553545
821, cost: 0.570986
822, cost: 0.564556
823, cost: 0.565201
824, cost: 0.561098
825, cost: 0.559416
826, cost: 0.557641
827, cost: 0.556451
828, cost: 0.556015
829, cost: 0.555979
830, cost: 0.554838
831, cost: 0.568849
832, cost: 0.565603
833, cost: 0.564887
834, cost: 0.562853
835, cost: 0.560791
836, cost: 0.562548
837, cost: 0.559056
838, cost: 0.559331
839, cost: 0.556680
840, cost: 0.555858
841, cost: 0.568835
842, cost: 0.565484
843, cost: 0.562953
844, cost: 0.561954
845, cost: 0.561825
846, cost: 0.556961
847, cost: 0.557231
848, cost: 0.555417
849, cost: 0.554597
850, cost: 0.554723
851, cost: 0.563015
852, cost: 0.558192
853, cost: 0.556961
854, cost: 0.554469
855, cost: 0.554788
856, cost: 0.554018
857, cost: 0.551141
858, cost: 0.551420
859, cost: 0.550963
860, cost: 0.549522
861, cost: 0.571574
862, cost: 0.566350
863, cost: 0.563163
864, cost: 0.562717
865, cost: 0.560023
866, cost: 0.558257
867, cost: 0.558947
868, cost: 0.556338
869, cost: 0.555048
870, cost: 0.554509
871, cost: 0.570829
872, cost: 0.568799
873, cost: 0.563859
874, cost: 0.563148
875, cost: 0.559759
876, cost: 0.560169
877, cost: 0.557608
878, cost: 0.556331
879, cost: 0.557177
880, cost: 0.553157
881, cost: 0.569708
882, cost: 0.567412
883, cost: 0.562403
884, cost: 0.562242
885, cost: 0.559169
886, cost: 0.558134
887, cost: 0.556702
888, cost: 0.557802
889, cost: 0.555080
890, cost: 0.553208
891, cost: 0.570224
892, cost: 0.566955
893, cost: 0.563173
894, cost: 0.561881
895, cost: 0.559436
896, cost: 0.558422
897, cost: 0.556740
898, cost: 0.557190
899, cost: 0.554740
900, cost: 0.554751
901, cost: 0.570059
902, cost: 0.563976
903, cost: 0.561683
904, cost: 0.561075
905, cost: 0.561578
906, cost: 0.559081
907, cost: 0.557488
908, cost: 0.554597
909, cost: 0.555089
910, cost: 0.553944
911, cost: 0.568840
912, cost: 0.564947
913, cost: 0.562074
914, cost: 0.560606
915, cost: 0.559270
916, cost: 0.555448
917, cost: 0.555502
918, cost: 0.555820
919, cost: 0.554051
920, cost: 0.551851
921, cost: 0.566590
922, cost: 0.563178
923, cost: 0.560034
924, cost: 0.558441
925, cost: 0.555736
926, cost: 0.555750
927, cost: 0.552598
928, cost: 0.551996
929, cost: 0.551367
930, cost: 0.550834
931, cost: 0.567349
932, cost: 0.564119
933, cost: 0.561812
934, cost: 0.559595
935, cost: 0.556183
936, cost: 0.555457
937, cost: 0.555972
938, cost: 0.553312
939, cost: 0.552897
940, cost: 0.552316
941, cost: 0.563451
942, cost: 0.558888
943, cost: 0.554942
944, cost: 0.555116
945, cost: 0.552989
946, cost: 0.550933
947, cost: 0.551612
948, cost: 0.548797
949, cost: 0.550353
950, cost: 0.546956
951, cost: 0.568658
952, cost: 0.564932
953, cost: 0.560304
954, cost: 0.560177
955, cost: 0.557265
956, cost: 0.556212
957, cost: 0.556439
958, cost: 0.554009
959, cost: 0.552378
960, cost: 0.552285
961, cost: 0.566389
962, cost: 0.561834
963, cost: 0.559781
964, cost: 0.557707
965, cost: 0.557654
966, cost: 0.553703
967, cost: 0.552337
968, cost: 0.550827
969, cost: 0.549215
970, cost: 0.551500
971, cost: 0.566828
972, cost: 0.561922
973, cost: 0.558617
974, cost: 0.557572
975, cost: 0.554166
976, cost: 0.556138
977, cost: 0.553925
978, cost: 0.551295
979, cost: 0.550552
980, cost: 0.550498
981, cost: 0.548828
982, cost: 0.545433
983, cost: 0.547660
984, cost: 0.546903
985, cost: 0.544855
986, cost: 0.544220
987, cost: 0.543256
988, cost: 0.543022
989, cost: 0.541843
990, cost: 0.541994
991, cost: 0.565470
992, cost: 0.561125
993, cost: 0.559207
994, cost: 0.557036
995, cost: 0.557168
996, cost: 0.554477
997, cost: 0.552411
998, cost: 0.549911
999, cost: 0.547867
1000, cost: 0.548110
It cost 526.782429 mins
