train data: small + change data
mu = 0.001000, decay = 0.999900
activation function: ReLU
batch_size = 128
batch_num = 1024
3 layers: 69-256-256-48
552, cost: 0.577989
553, cost: 0.579529
554, cost: 0.579862
555, cost: 0.576774
556, cost: 0.575823
557, cost: 0.574018
558, cost: 0.577406
559, cost: 0.571794
560, cost: 0.571410
561, cost: 0.589864
562, cost: 0.591927
563, cost: 0.585333
564, cost: 0.587350
565, cost: 0.584916
566, cost: 0.582577
567, cost: 0.578987
568, cost: 0.579664
569, cost: 0.578408
570, cost: 0.576750
571, cost: 0.578908
572, cost: 0.573730
573, cost: 0.573942
574, cost: 0.573410
575, cost: 0.574403
576, cost: 0.573237
577, cost: 0.574317
578, cost: 0.568257
579, cost: 0.570444
580, cost: 0.570669
581, cost: 0.589657
582, cost: 0.585725
583, cost: 0.583065
584, cost: 0.581684
585, cost: 0.583444
586, cost: 0.583461
587, cost: 0.579611
588, cost: 0.577381
589, cost: 0.576499
590, cost: 0.574925
591, cost: 0.576151
592, cost: 0.577630
593, cost: 0.573488
594, cost: 0.572290
595, cost: 0.571074
596, cost: 0.571949
597, cost: 0.571408
598, cost: 0.568871
599, cost: 0.569418
600, cost: 0.569187
601, cost: 0.591096
602, cost: 0.587468
603, cost: 0.587764
604, cost: 0.583453
605, cost: 0.582920
606, cost: 0.579892
607, cost: 0.578746
608, cost: 0.576905
609, cost: 0.578152
610, cost: 0.576699
611, cost: 0.575474
612, cost: 0.572966
613, cost: 0.572817
614, cost: 0.573772
615, cost: 0.574204
616, cost: 0.572587
617, cost: 0.569837
618, cost: 0.568618
619, cost: 0.573619
620, cost: 0.565428
621, cost: 0.588105
622, cost: 0.583817
623, cost: 0.583217
624, cost: 0.581681
625, cost: 0.579554
626, cost: 0.578649
627, cost: 0.577936
628, cost: 0.577580
629, cost: 0.574723
630, cost: 0.576317
631, cost: 0.572911
632, cost: 0.573560
633, cost: 0.571059
634, cost: 0.571494
635, cost: 0.574529
636, cost: 0.569158
637, cost: 0.568451
638, cost: 0.570383
639, cost: 0.569328
640, cost: 0.566803
641, cost: 0.591743
642, cost: 0.586780
643, cost: 0.583169
644, cost: 0.579903
645, cost: 0.580569
646, cost: 0.578125
647, cost: 0.578896
648, cost: 0.576432
649, cost: 0.573994
650, cost: 0.575669
651, cost: 0.573837
652, cost: 0.573671
653, cost: 0.569912
654, cost: 0.568727
655, cost: 0.571718
656, cost: 0.570912
657, cost: 0.570115
658, cost: 0.567264
659, cost: 0.566363
660, cost: 0.567807
661, cost: 0.588769
662, cost: 0.587270
663, cost: 0.586004
664, cost: 0.580676
665, cost: 0.581130
666, cost: 0.580390
667, cost: 0.580238
668, cost: 0.577667
669, cost: 0.574323
