iteration,cost
976,2.131764
977,2.136717
978,2.144542
979,2.146568
980,2.139547
981,2.129768
982,2.115650
983,2.142488
984,2.104360
985,2.121026
986,2.141101
987,2.123725
988,2.141338
989,2.130957
990,2.117014
991,2.121455
992,2.149802
993,2.115820
994,2.119460
995,2.147462
996,2.142655
997,2.129133
998,2.127532
999,2.127242
1000,2.122438
1001,2.119971
1002,2.098645
1003,2.138226
1004,2.126752
1005,2.123726
1006,2.136988
1007,2.129303
1008,2.145895
1009,2.117787
1010,2.128766
1011,2.140226
1012,2.111884
1013,2.128621
1014,2.123559
1015,2.129213
1016,2.133073
1017,2.128949
1018,2.133277
1019,2.129830
1020,2.123467
1021,2.108132
1022,2.133209
1023,2.120958
1024,2.099177
1025,2.117983
1026,2.122907
1027,2.109250
1028,2.131009
1029,2.120032
1030,2.115827
1031,2.147086
1032,2.120429
1033,2.125020
1034,2.108363
1035,2.118804
1036,2.117869
1037,2.110520
1038,2.118318
1039,2.125598
1040,2.129921
1041,2.104128
1042,2.123547
1043,2.110399
1044,2.090249
1045,2.129457
1046,2.112317
1047,2.149776
1048,2.104947
1049,2.113492
1050,2.117629
1051,2.101571
1052,2.114142
1053,2.111816
1054,2.104321
1055,2.140835
1056,2.101208
1057,2.121660
1058,2.131602
1059,2.125823
1060,2.132693
1061,2.141262
1062,2.112042
1063,2.123251
1064,2.111128
1065,2.125338
1066,2.110542
1067,2.116507
1068,2.103318
1069,2.105185
1070,2.117462
1071,2.097408
1072,2.089576
1073,2.111219
1074,2.120341
1075,2.102641
1076,2.137734
1077,2.126909
1078,2.107078
1079,2.108089
1080,2.100714
1081,2.124224
1082,2.109140
1083,2.097643
1084,2.102368
1085,2.124723
1086,2.080197
1087,2.107900
1088,2.099794
1089,2.125575
1090,2.101059
1091,2.095639
1092,2.095136
1093,2.132802
1094,2.087245
1095,2.123313
1096,2.118928
1097,2.104160
1098,2.107433
1099,2.119690
1100,2.136791
1101,2.106270
1102,2.096939
1103,2.126260
1104,2.113964
1105,2.115018
1106,2.108283
1107,2.109128
1108,2.103520
1109,2.077169
1110,2.090237
1111,2.098055
1112,2.123668
1113,2.096716
1114,2.099357
1115,2.104609
1116,2.092208
1117,2.120763
1118,2.116019
1119,2.080784
1120,2.124060
1121,2.107942
1122,2.092281
1123,2.109100
1124,2.076405
1125,2.110411
1126,2.106230
1127,2.089796
1128,2.095259
1129,2.092505
1130,2.111319
1131,2.123525
1132,2.095244
1133,2.109769
1134,2.099257
1135,2.115457
1136,2.116246
1137,2.118054
1138,2.093248
1139,2.124531
1140,2.093385
1141,2.119798
1142,2.094948
1143,2.098195
1144,2.084698
1145,2.057413
1146,2.118048
1147,2.103447
1148,2.079656
1149,2.101325
1150,2.107825
1151,2.083904
1152,2.114985
1153,2.083785
1154,2.095829
1155,2.064931
1156,2.099694
1157,2.085653
1158,2.123194
1159,2.105387
1160,2.066637
1161,2.086738
1162,2.106747
1163,2.071729
1164,2.102072
1165,2.069071
1166,2.083877
1167,2.096209
1168,2.087249
1169,2.101329
1170,2.071851
1171,2.069448
1172,2.097660
1173,2.106895
1174,2.082170
1175,2.100621
1176,2.085739
1177,2.103548
1178,2.081874
1179,2.120080
1180,2.077604
1181,2.099495
1182,2.089086
1183,2.070901
1184,2.102855
1185,2.097863
1186,2.089525
1187,2.106203
1188,2.068767
1189,2.072616
1190,2.084199
1191,2.091675
1192,2.074943
1193,2.068384
1194,2.109284
1195,2.087357
1196,2.074029
1197,2.111771
1198,2.110128
1199,2.091207
1200,2.092944
1201,2.086808
1202,2.091249
1203,2.082226
1204,2.089711
1205,2.077271
1206,2.105202
1207,2.058652
1208,2.080405
1209,2.103169
1210,2.099617
1211,2.114326
1212,2.085541
1213,2.069624
1214,2.067034
1215,2.088845
1216,2.076224
1217,2.085396
1218,2.092408
1219,2.100180
1220,2.085195
1221,2.082209
1222,2.110150
1223,2.078385
1224,2.097548
1225,2.084143
1226,2.091906
1227,2.080727
1228,2.080215
1229,2.100273
1230,2.083338
1231,2.101313
1232,2.099254
1233,2.059337
1234,2.082804
1235,2.071638
1236,2.082556
1237,2.089648
1238,2.080158
1239,2.102428
1240,2.078558
1241,2.055464
1242,2.068666
1243,2.098465
1244,2.101512
1245,2.088036
1246,2.070847
1247,2.101883
1248,2.072829
1249,2.088318
1250,2.068843
1251,2.094587
1252,2.068099
1253,2.065281
1254,2.083503
1255,2.070307
1256,2.090824
1257,2.087715
1258,2.073889
1259,2.066863
1260,2.066952
1261,2.067918
1262,2.093677
1263,2.090922
1264,2.073427
1265,2.075961
1266,2.080240
1267,2.077954
1268,2.065076
1269,2.080635
1270,2.069334
1271,2.053324
1272,2.085055
1273,2.080566
1274,2.064006
1275,2.077147
1276,2.084964
1277,2.067991
1278,2.065823
1279,2.089627
1280,2.091788
1281,2.083148
1282,2.073014
1283,2.066859
1284,2.096389
1285,2.084246
1286,2.068554
1287,2.086624
1288,2.078725
1289,2.082811
1290,2.059438
1291,2.079030
1292,2.074195
1293,2.069138
1294,2.080758
1295,2.063185
1296,2.061512
1297,2.088732
1298,2.072178
1299,2.038960
1300,2.068386
1301,2.071450
1302,2.068041
1303,2.064928
1304,2.069830
1305,2.073156
1306,2.046807
1307,2.061255
1308,2.064428
1309,2.047181
1310,2.092982
1311,2.080975
1312,2.080467
1313,2.074386
1314,2.048711
1315,2.089433
1316,2.062523
1317,2.049457
1318,2.060449
1319,2.074106
1320,2.071092
1321,2.064948
1322,2.068711
1323,2.059658
1324,2.074878
1325,2.066776
1326,2.086862
1327,2.059703
1328,2.082562
1329,2.090380
1330,2.048997
1331,2.094565
1332,2.069460
1333,2.073176
1334,2.050676
1335,2.069258
1336,2.088265
1337,2.049257
1338,2.087342
1339,2.056163
1340,2.067630
1341,2.054685
1342,2.079702
1343,2.083492
1344,2.037012
1345,2.070388
1346,2.061670
1347,2.044383
1348,2.065225
1349,2.025372
1350,2.045857
1351,2.060137
1352,2.074308
1353,2.082816
1354,2.057155
1355,2.064624
1356,2.064186
1357,2.063492
1358,2.083532
1359,2.056508
1360,2.050534
1361,2.043994
1362,2.070310
1363,2.066293
1364,2.047077
1365,2.061419
1366,2.069343
1367,2.072766
1368,2.061043
1369,2.040565
1370,2.052107
1371,2.052880
1372,2.071470
1373,2.039490
1374,2.043853
1375,2.078272
1376,2.053189
1377,2.045444
1378,2.066966
1379,2.060203
1380,2.076898
1381,2.069701
1382,2.034221
1383,2.040526
1384,2.073894
1385,2.072080
1386,2.075694
1387,2.065072
1388,2.062245
1389,2.060023
1390,2.050500
1391,2.036766
1392,2.040304
1393,2.072477
1394,2.045732
1395,2.064032
1396,2.051014
1397,2.055048
1398,2.062484
1399,2.061608
1400,2.051063
1401,2.047149
1402,2.052087
1403,2.051846
1404,2.053135
1405,2.064782
1406,2.058322
1407,2.038470
1408,2.059437
1409,2.052104
1410,2.067063
